chrm	peak_start	peak_end	TF	peak_enrichment	prom_start	prom_end	promoter	prom_strand	distance	simple_name	class	gene
ZM4	642816	642817	ZMO0023	26.5419	642781	642782	TSS_1482	+	35	ZMO0023 (AsnC)	TF homology	ZMO0652
ZM4	663080	663081	ZMO0023	64.3798	663183	663184	TSS_1521	+	-103	ZMO0023 (AsnC)	TF homology	ZMO2005
ZM4	672799	672800	ZMO0023	46.7395	672719	672720	TSS_1558	-	-80	ZMO0023 (AsnC)	TF homology	ZMO0677
ZM4	684862	684863	ZMO0023	14.7788	684964	684965	TSS_1564	-	102	ZMO0023 (AsnC)	TF homology	ZMO0687
ZM4	749615	749616	ZMO0023	2776.87	749602	749603	TSS_1747	-	-13	ZMO0023 (AsnC)	TF homology	ZMO0749
ZM4	764123	764124	ZMO0023	13.1161	764204	764205	TSS_1779	+	-81	ZMO0023 (AsnC)	TF homology	ZMO0767
ZM4	764248	764249	ZMO0023	11.5131	764204	764205	TSS_1779	+	44	ZMO0023 (AsnC)	TF homology	ZMO0767
ZM4	820179	820180	ZMO0023	139.267	820195	820196	TSS_1854	+	-16	ZMO0023 (AsnC)	TF homology	ZMO0818
ZM4	843739	843740	ZMO0023	29.695	843741	843742	TSS_1886	+	-2	ZMO0023 (AsnC)	TF homology	ZMO0837
ZM4	888270	888271	ZMO0023	194.738	888204	888205	TSS_1972	-	-66	ZMO0023 (AsnC)	TF homology	ZMO0875
ZM4	926158	926159	ZMO0023	105.216	926039	926040	TSS_2045	-	-119	ZMO0023 (AsnC)	TF homology	ZMO0909
ZM4	934790	934791	ZMO0023	70.9284	934591	934592	TSS_2071	+	199	ZMO0023 (AsnC)	TF homology	ZMO0916
ZM4	968769	968770	ZMO0023	300.651	968655	968656	TSS_2144	+	114	ZMO0023 (AsnC)	TF homology	ZMO0949
ZM4	974350	974351	ZMO0023	7.03839	974364	974365	TSS_2157	+	-14	ZMO0023 (AsnC)	TF homology	ZMO0956
ZM4	980132	980133	ZMO0023	494.423	980120	980121	TSS_2162	+	12	ZMO0023 (AsnC)	TF homology	ZMO0964
ZM4	1010538	1010539	ZMO0023	4.17246	1010381	1010382	TSS_2224	-	-157	ZMO0023 (AsnC)	TF homology	ZMO0989
ZM4	1017180	1017181	ZMO0023	163.538	1017150	1017151	TSS_2249	-	-30	ZMO0023 (AsnC)	TF homology	ZMO0999
ZM4	1054902	1054903	ZMO0023	1914.31	1054772	1054773	TSS_2347	-	-130	ZMO0023 (AsnC)	TF homology	ZMO1039
ZM4	1055177	1055178	ZMO0023	9.93106	1055163	1055164	TSS_2348	+	14	ZMO0023 (AsnC)	TF homology	ZMO1040
ZM4	1076744	1076745	ZMO0023	23.5422	1076724	1076725	TSS_2389	-	-20	ZMO0023 (AsnC)	TF homology	ZMO1060
ZM4	1132820	1132821	ZMO0023	57.0938	1132916	1132917	TSS_2506	+	-96	ZMO0023 (AsnC)	TF homology	ZMO1116
ZM4	1151112	1151113	ZMO0023	13.9957	1151105	1151106	TSS_2532	-	-7	ZMO0023 (AsnC)	TF homology	ZMO1132
ZM4	1204496	1204497	ZMO0023	98.2458	1204323	1204324	TSS_2670	-	-173	ZMO0023 (AsnC)	TF homology	ZMO1182
ZM4	1225394	1225395	ZMO0023	53.6456	1225593	1225594	TSS_2694	+	-199	ZMO0023 (AsnC)	TF homology	ZMO1198
ZM4	1236344	1236345	ZMO0023	24.7344	1236411	1236412	TSS_2717	-	67	ZMO0023 (AsnC)	TF homology	ZMO1209
ZM4	1244659	1244660	ZMO0023	93.3715	1244612	1244613	TSS_2762	+	47	ZMO0023 (AsnC)	TF homology	ZMO2011
ZM4	1245301	1245302	ZMO0023	107.405	1245168	1245169	TSS_2763	+	133	ZMO0023 (AsnC)	TF homology	Zms14
ZM4	1261580	1261581	ZMO0023	4.50426	1261555	1261556	TSS_2808	-	-25	ZMO0023 (AsnC)	TF homology	ZMO1235
ZM4	1286421	1286422	ZMO0023	42.0605	1286430	1286431	TSS_2868	+	-9	ZMO0023 (AsnC)	TF homology	ZMO2012
ZM4	1288910	1288911	ZMO0023	23.6471	1288993	1288994	TSS_2871	-	83	ZMO0023 (AsnC)	TF homology	ZMO1271
ZM4	1303961	1303962	ZMO0023	53.8	1304150	1304151	TSS_2916	+	-189	ZMO0023 (AsnC)	TF homology	ZMO1288
ZM4	1313023	1313024	ZMO0023	36.7837	1312979	1312980	TSS_2943	+	44	ZMO0023 (AsnC)	TF homology	ZMO1298
ZM4	1316156	1316157	ZMO0023	9.70706	1316003	1316004	TSS_2951	+	153	ZMO0023 (AsnC)	TF homology	ZMO2017
ZM4	1341565	1341566	ZMO0023	8.72296	1341572	1341573	TSS_2994	+	-7	ZMO0023 (AsnC)	TF homology	ZMO1322
ZM4	1345527	1345528	ZMO0023	12.4547	1345545	1345546	TSS_3005	+	-18	ZMO0023 (AsnC)	TF homology	ZMO1326
ZM4	1353485	1353486	ZMO0023	47.1561	1353460	1353461	TSS_3027	-	-25	ZMO0023 (AsnC)	TF homology	Zms4
ZM4	1370771	1370772	ZMO0023	78.8212	1370799	1370800	TSS_3088	-	28	ZMO0023 (AsnC)	TF homology	ZMO1354
ZM4	1383476	1383477	ZMO0023	20.9378	1383346	1383347	TSS_3131	+	130	ZMO0023 (AsnC)	TF homology	ZMO1366
ZM4	1422283	1422284	ZMO0023	32.9322	1422354	1422355	TSS_3194	-	71	ZMO0023 (AsnC)	TF homology	ZMO1407
ZM4	1429539	1429540	ZMO0023	497.184	1429455	1429456	TSS_3228	-	-84	ZMO0023 (AsnC)	TF homology	ZMO1415
ZM4	1458607	1458608	ZMO0023	104.564	1458639	1458640	TSS_3257	-	32	ZMO0023 (AsnC)	TF homology	ZMO1439
ZM4	1459540	1459541	ZMO0023	2.59548	1459521	1459522	TSS_3259	-	-19	ZMO0023 (AsnC)	TF homology	ZMO1440
ZM4	1486432	1486433	ZMO0023	5.68803	1486365	1486366	TSS_3285	-	-67	ZMO0023 (AsnC)	TF homology	ZMO1464
ZM4	1501412	1501413	ZMO0023	94.322	1501598	1501599	TSS_3304	-	186	ZMO0023 (AsnC)	TF homology	ZMO1477
ZM4	1518156	1518157	ZMO0023	88.6722	1518153	1518154	TSS_3370	+	3	ZMO0023 (AsnC)	TF homology	ZMO1491
ZM4	1546298	1546299	ZMO0023	7.1343	1546229	1546230	TSS_3435	-	-69	ZMO0023 (AsnC)	TF homology	ZMO1520
ZM4	1547200	1547201	ZMO0023	25.7174	1547277	1547278	TSS_3436	+	-77	ZMO0023 (AsnC)	TF homology	ZMO1522
ZM4	1562939	1562940	ZMO0023	2.76817	1562914	1562915	TSS_3468	-	-25	ZMO0023 (AsnC)	TF homology	ZMO1529
ZM4	1563083	1563084	ZMO0023	3.60269	1563091	1563092	TSS_3469	-	8	ZMO0023 (AsnC)	TF homology	ZMO1529
ZM4	1563270	1563271	ZMO0023	9.51307	1563184	1563185	TSS_3475	-	-86	ZMO0023 (AsnC)	TF homology	ZMO1529
ZM4	1605004	1605005	ZMO0023	12.012	1605086	1605087	TSS_3544	+	-82	ZMO0023 (AsnC)	TF homology	ZMO1571
ZM4	1620789	1620790	ZMO0023	8.26328	1620985	1620986	TSS_3553	+	-196	ZMO0023 (AsnC)	TF homology	ZMO1581
ZM4	1636904	1636905	ZMO0023	78.8439	1636867	1636868	TSS_3580	+	37	ZMO0023 (AsnC)	TF homology	ZMO1596
ZM4	1638467	1638468	ZMO0023	23.5653	1638447	1638448	TSS_3585	+	20	ZMO0023 (AsnC)	TF homology	ZMO1598
ZM4	1681915	1681916	ZMO0023	74.2483	1681866	1681867	TSS_3678	-	-49	ZMO0023 (AsnC)	TF homology	ZMO1636
ZM4	1694852	1694853	ZMO0023	5.36298	1694878	1694879	TSS_3703	-	26	ZMO0023 (AsnC)	TF homology	ZMOt040
ZM4	1729825	1729826	ZMO0023	182.135	1729998	1729999	TSS_3768	+	-173	ZMO0023 (AsnC)	TF homology	ZMO1683
ZM4	1752987	1752988	ZMO0023	1105.34	1752975	1752976	TSS_3809	-	-12	ZMO0023 (AsnC)	TF homology	ZMO1701
ZM4	1768713	1768714	ZMO0023	6.52458	1768545	1768546	TSS_3874	+	168	ZMO0023 (AsnC)	TF homology	ZMO1719
ZM4	1778031	1778032	ZMO0023	31.4088	1778220	1778221	TSS_3892	-	189	ZMO0023 (AsnC)	TF homology	ZMO1730
ZM4	1780311	1780312	ZMO0023	137.122	1780429	1780430	TSS_3907	+	-118	ZMO0023 (AsnC)	TF homology	ZMO1734
ZM4	1784299	1784300	ZMO0023	22.2709	1784117	1784118	TSS_3912	-	-182	ZMO0023 (AsnC)	TF homology	ZMO1738
ZM4	1797908	1797909	ZMO0023	16.9676	1797947	1797948	TSS_3957	+	-39	ZMO0023 (AsnC)	TF homology	ZMO1753
ZM4	1811281	1811282	ZMO0023	40.5567	1811258	1811259	TSS_3980	-	-23	ZMO0023 (AsnC)	TF homology	ZMO1764
ZM4	1827339	1827340	ZMO0023	13.1313	1827380	1827381	TSS_4024	-	41	ZMO0023 (AsnC)	TF homology	ZMO1780
ZM4	1849806	1849807	ZMO0023	60.6527	1849748	1849749	TSS_4086	-	-58	ZMO0023 (AsnC)	TF homology	ZMO1806
ZM4	1873870	1873871	ZMO0023	32.1342	1874059	1874060	TSS_4106	+	-189	ZMO0023 (AsnC)	TF homology	ZMO1827
ZM4	1884036	1884037	ZMO0023	21.2812	1884164	1884165	TSS_4116	-	128	ZMO0023 (AsnC)	TF homology	ZMO1841
ZM4	1925313	1925314	ZMO0023	315.589	1925471	1925472	TSS_4168	-	158	ZMO0023 (AsnC)	TF homology	ZMO1870
ZM4	1927255	1927256	ZMO0023	4.74587	1927204	1927205	TSS_4174	-	-51	ZMO0023 (AsnC)	TF homology	ZMO1873
ZM4	1928078	1928079	ZMO0023	24.0944	1928055	1928056	TSS_4182	+	23	ZMO0023 (AsnC)	TF homology	ZMO1876
ZM4	1954694	1954695	ZMO0023	26.0505	1954834	1954835	TSS_4256	-	140	ZMO0023 (AsnC)	TF homology	ZMO1901
ZM4	1954982	1954983	ZMO0023	13.5826	1954890	1954891	TSS_4259	-	-92	ZMO0023 (AsnC)	TF homology	ZMO1901
ZM4	2017532	2017533	ZMO0023	25.3937	2017437	2017438	TSS_4391	-	-95	ZMO0023 (AsnC)	TF homology	ZMO1958
ZM4	2036682	2036683	ZMO0023	4.15379	2036639	2036640	TSS_4412	+	43	ZMO0023 (AsnC)	TF homology	ZMO1974
ZM4	2037535	2037536	ZMO0023	8.24351	2037494	2037495	TSS_4413	+	41	ZMO0023 (AsnC)	TF homology	ZMO1975
ZM4	119298	119299	ZMO0054	1859.8	119236	119237	TSS_0172	-	-62	ZMO0054 (MarR)	TF homology	ZMO0130
ZM4	1547131	1547132	ZMO0054	38.7763	1547277	1547278	TSS_3436	+	-146	ZMO0054 (MarR)	TF homology	ZMO1522
ZM4	1726600	1726601	ZMO0054	6225.31	1726705	1726706	TSS_3767	+	-105	ZMO0054 (MarR)	TF homology	ZMO1681
ZM4	1768287	1768288	ZMO0054	474.506	1768475	1768476	TSS_3866	+	-188	ZMO0054 (MarR)	TF homology	ZMO1719
ZM4	1893371	1893372	ZMO0054	51.1775	1893193	1893194	TSS_4139	-	-178	ZMO0054 (MarR)	TF homology	ZMO1850
ZM4	67097	67098	ZMO0100	23.182	67080	67081	TSS_0090	-	-17	ZMO0100 (HxlR)	TF homology	ZMO0075
ZM4	373405	373406	ZMO0100	105.681	373457	373458	TSS_0747	+	-52	ZMO0100 (HxlR)	TF homology	ZMO0368
ZM4	373493	373494	ZMO0100	103.212	373457	373458	TSS_0747	+	36	ZMO0100 (HxlR)	TF homology	ZMO0368
ZM4	406828	406829	ZMO0100	23.8074	406810	406811	TSS_0804	-	-18	ZMO0100 (HxlR)	TF homology	ZMO0403
ZM4	521204	521205	ZMO0100	170.812	521071	521072	TSS_1122	+	133	ZMO0100 (HxlR)	TF homology	ZMO0518
ZM4	526621	526622	ZMO0100	163.664	526607	526608	TSS_1172	+	14	ZMO0100 (HxlR)	TF homology	ZMO0529
ZM4	612745	612746	ZMO0100	144.681	612724	612725	TSS_1425	-	-21	ZMO0100 (HxlR)	TF homology	ZMO0610
ZM4	736911	736912	ZMO0100	1680.98	736997	736998	TSS_1693	+	-86	ZMO0100 (HxlR)	TF homology	ZMO0734
ZM4	842092	842093	ZMO0100	2.37377	842246	842247	TSS_1877	+	-154	ZMO0100 (HxlR)	TF homology	ZMO0836
ZM4	842318	842319	ZMO0100	84.0821	842283	842284	TSS_1879	+	35	ZMO0100 (HxlR)	TF homology	ZMO0836
ZM4	853279	853280	ZMO0100	1363.9	853157	853158	TSS_1910	+	122	ZMO0100 (HxlR)	TF homology	ZMO0845
ZM4	931954	931955	ZMO0100	324.46	932007	932008	TSS_2061	+	-53	ZMO0100 (HxlR)	TF homology	ZMO0915
ZM4	1027817	1027818	ZMO0100	49.4263	1027928	1027929	TSS_2272	+	-111	ZMO0100 (HxlR)	TF homology	ZMO1008
ZM4	1034139	1034140	ZMO0100	14.3391	1034259	1034260	TSS_2290	-	120	ZMO0100 (HxlR)	TF homology	ZMO1015
ZM4	1040269	1040270	ZMO0100	51.609	1040228	1040229	TSS_2304	+	41	ZMO0100 (HxlR)	TF homology	ZMO1022
ZM4	1176310	1176311	ZMO0100	9.66983	1176433	1176434	TSS_2606	-	123	ZMO0100 (HxlR)	TF homology	ZMO1156
ZM4	1195085	1195086	ZMO0100	18.1398	1194887	1194888	TSS_2649	-	-198	ZMO0100 (HxlR)	TF homology	ZMO1173
ZM4	1517622	1517623	ZMO0100	304.373	1517576	1517577	TSS_3368	-	-46	ZMO0100 (HxlR)	TF homology	ZMO1489
ZM4	1653799	1653800	ZMO0100	260.631	1653805	1653806	TSS_3627	+	-6	ZMO0100 (HxlR)	TF homology	ZMO1610
ZM4	1764712	1764713	ZMO0100	447.996	1764599	1764600	TSS_3844	-	-113	ZMO0100 (HxlR)	TF homology	ZMO2025
ZM4	1802100	1802101	ZMO0100	26.3937	1801999	1802000	TSS_3966	+	101	ZMO0100 (HxlR)	TF homology	ZMO1756
ZM4	1812752	1812753	ZMO0100	24.2985	1812784	1812785	TSS_3982	-	32	ZMO0100 (HxlR)	TF homology	ZMO1766
ZM4	1884045	1884046	ZMO0100	49.258	1884164	1884165	TSS_4116	-	119	ZMO0100 (HxlR)	TF homology	ZMO1841
ZM4	1984824	1984825	ZMO0100	83.2083	1984672	1984673	TSS_4352	+	152	ZMO0100 (HxlR)	TF homology	ZMO1929
ZM4	318405	318406	ZMO1164	16.5172	318303	318304	TSS_0612	-	-102	ZMO1164 (PhoB)	TF homology	ZMO0315
ZM4	1063598	1063599	ZMO1164	593.387	1063617	1063618	TSS_2367	+	-19	ZMO1164 (PhoB)	TF homology	ZMO1047
ZM4	1180882	1180883	ZMO1164	125.128	1180926	1180927	TSS_2627	+	-44	ZMO1164 (PhoB)	TF homology	ZMO1163
ZM4	1860626	1860627	ZMO1164	9.50016	1860551	1860552	TSS_4093	-	-75	ZMO1164 (PhoB)	TF homology	ZMO1815
ZM4	18377	18378	ZMO0199	290.341	18337	18338	TSS_0022	+	40	ZMO0199 (LexA)	TF homology	ZMO0016
ZM4	25955	25956	ZMO0199	272.441	26028	26029	TSS_0027	-	73	ZMO0199 (LexA)	TF homology	ZMO0022
ZM4	50793	50794	ZMO0199	2705.66	50901	50902	TSS_0064	-	108	ZMO0199 (LexA)	TF homology	ZMO0055
ZM4	61452	61453	ZMO0199	274.926	61521	61522	TSS_0079	+	-69	ZMO0199 (LexA)	TF homology	ZMO0069
ZM4	99488	99489	ZMO0199	71.5578	99594	99595	TSS_0136	+	-106	ZMO0199 (LexA)	TF homology	ZMO0112
ZM4	100812	100813	ZMO0199	164.614	100905	100906	TSS_0139	+	-93	ZMO0199 (LexA)	TF homology	ZMO0113
ZM4	110427	110428	ZMO0199	653.605	110455	110456	TSS_0154	+	-28	ZMO0199 (LexA)	TF homology	ZMO0122
ZM4	115602	115603	ZMO0199	54.9426	115697	115698	TSS_0163	-	95	ZMO0199 (LexA)	TF homology	ZMO0127
ZM4	130649	130650	ZMO0199	903.261	130630	130631	TSS_0196	+	19	ZMO0199 (LexA)	TF homology	ZMO0142
ZM4	157527	157528	ZMO0199	1618.83	157635	157636	TSS_0267	+	-108	ZMO0199 (LexA)	TF homology	ZMO0172
ZM4	160570	160571	ZMO0199	160.644	160583	160584	TSS_0278	-	13	ZMO0199 (LexA)	TF homology	ZMO0173
ZM4	164685	164686	ZMO0199	27.9712	164758	164759	TSS_0322	+	-73	ZMO0199 (LexA)	TF homology	ZMO0178
ZM4	165172	165173	ZMO0199	177.939	165095	165096	TSS_0324	+	77	ZMO0199 (LexA)	TF homology	ZMO0178
ZM4	173327	173328	ZMO0199	94.4916	173165	173166	TSS_0346	-	-162	ZMO0199 (LexA)	TF homology	ZMO0183
ZM4	173581	173582	ZMO0199	1699.43	173662	173663	TSS_0347	+	-81	ZMO0199 (LexA)	TF homology	ZMO0184
ZM4	173957	173958	ZMO0199	1591	173874	173875	TSS_0366	+	83	ZMO0199 (LexA)	TF homology	ZMO0186
ZM4	175601	175602	ZMO0199	85.033	175617	175618	TSS_0374	+	-16	ZMO0199 (LexA)	TF homology	ZMO0187
ZM4	181487	181488	ZMO0199	385.384	181509	181510	TSS_0377	-	22	ZMO0199 (LexA)	TF homology	ZMO0189
ZM4	185219	185220	ZMO0199	290.783	185047	185048	TSS_0381	-	-172	ZMO0199 (LexA)	TF homology	ZMO0192
ZM4	189439	189440	ZMO0199	102.359	189419	189420	TSS_0388	+	20	ZMO0199 (LexA)	TF homology	ZMO0197
ZM4	194460	194461	ZMO0199	23005.9	194458	194459	TSS_0396	-	-2	ZMO0199 (LexA)	TF homology	ZMO0199
ZM4	196245	196246	ZMO0199	84.1112	196200	196201	TSS_0398	-	-45	ZMO0199 (LexA)	TF homology	ZMO0201
ZM4	217177	217178	ZMO0199	41.827	216980	216981	TSS_0432	+	197	ZMO0199 (LexA)	TF homology	ZMO0221
ZM4	234646	234647	ZMO0199	414.869	234581	234582	TSS_0459	+	65	ZMO0199 (LexA)	TF homology	ZMO0239
ZM4	235898	235899	ZMO0199	187.431	235944	235945	TSS_0463	+	-46	ZMO0199 (LexA)	TF homology	ZMO0240
ZM4	236148	236149	ZMO0199	17.7879	236239	236240	TSS_0465	+	-91	ZMO0199 (LexA)	TF homology	ZMO0240
ZM4	238640	238641	ZMO0199	196.221	238511	238512	TSS_0470	+	129	ZMO0199 (LexA)	TF homology	ZMO0242
ZM4	258828	258829	ZMO0199	113.215	259009	259010	TSS_0512	+	-181	ZMO0199 (LexA)	TF homology	ZMO0256
ZM4	266395	266396	ZMO0199	369.086	266314	266315	TSS_0529	-	-81	ZMO0199 (LexA)	TF homology	ZMO0263
ZM4	270804	270805	ZMO0199	845.843	270955	270956	TSS_0534	-	151	ZMO0199 (LexA)	TF homology	ZMO0266
ZM4	274061	274062	ZMO0199	4515.44	273919	273920	TSS_0537	-	-142	ZMO0199 (LexA)	TF homology	ZMO0268
ZM4	293908	293909	ZMO0199	122.531	293932	293933	TSS_0579	+	-24	ZMO0199 (LexA)	TF homology	ZMO0287
ZM4	295284	295285	ZMO0199	101.804	295366	295367	TSS_0583	+	-82	ZMO0199 (LexA)	TF homology	ZMO0290
ZM4	310672	310673	ZMO0199	194.222	310703	310704	TSS_0602	-	31	ZMO0199 (LexA)	TF homology	ZMO0306
ZM4	318576	318577	ZMO0199	1032.35	318579	318580	TSS_0615	+	-3	ZMO0199 (LexA)	TF homology	ZMO0318
ZM4	318576	318577	ZMO0199	1032.35	318573	318574	TSS_0613	+	3	ZMO0199 (LexA)	TF homology	ZMO0318
ZM4	342754	342755	ZMO0199	283.452	342892	342893	TSS_0677	+	-138	ZMO0199 (LexA)	TF homology	ZMO0347
ZM4	359886	359887	ZMO0199	317.072	359813	359814	TSS_0706	+	73	ZMO0199 (LexA)	TF homology	ZMO0359
ZM4	370916	370917	ZMO0199	815.913	370913	370914	TSS_0726	+	3	ZMO0199 (LexA)	TF homology	ZMO0366
ZM4	373642	373643	ZMO0199	1634.54	373645	373646	TSS_0750	+	-3	ZMO0199 (LexA)	TF homology	ZMO0368
ZM4	376164	376165	ZMO0199	31.2528	376022	376023	TSS_0767	+	142	ZMO0199 (LexA)	TF homology	ZMO0369
ZM4	378481	378482	ZMO0199	3751.47	378392	378393	TSS_0773	+	89	ZMO0199 (LexA)	TF homology	ZMO0372
ZM4	406877	406878	ZMO0199	109.285	406810	406811	TSS_0804	-	-67	ZMO0199 (LexA)	TF homology	ZMO0403
ZM4	407464	407465	ZMO0199	13.0939	407413	407414	TSS_0809	+	51	ZMO0199 (LexA)	TF homology	ZMO0405
ZM4	411501	411502	ZMO0199	32.6262	411354	411355	TSS_0822	-	-147	ZMO0199 (LexA)	TF homology	ZMO0406
ZM4	425050	425051	ZMO0199	2640.74	425032	425033	TSS_0837	-	-18	ZMO0199 (LexA)	TF homology	ZMO0421
ZM4	441839	441840	ZMO0199	211.517	441891	441892	TSS_0873	+	-52	ZMO0199 (LexA)	TF homology	ZMO0445
ZM4	446295	446296	ZMO0199	28.8234	446368	446369	TSS_0880	-	73	ZMO0199 (LexA)	TF homology	ZMO0448
ZM4	459902	459903	ZMO0199	7757.12	459770	459771	TSS_0923	-	-132	ZMO0199 (LexA)	TF homology	ZMO0464
ZM4	470669	470670	ZMO0199	128.97	470633	470634	TSS_0953	-	-36	ZMO0199 (LexA)	TF homology	ZMO0477
ZM4	483271	483272	ZMO0199	181.026	483304	483305	TSS_0981	-	33	ZMO0199 (LexA)	TF homology	ZMO0488
ZM4	483668	483669	ZMO0199	251.651	483535	483536	TSS_0995	-	-133	ZMO0199 (LexA)	TF homology	ZMO0488
ZM4	486068	486069	ZMO0199	388.966	486033	486034	TSS_1007	+	35	ZMO0199 (LexA)	TF homology	ZMO0491
ZM4	489988	489989	ZMO0199	580.354	489935	489936	TSS_1023	+	53	ZMO0199 (LexA)	TF homology	ZMO0494
ZM4	498477	498478	ZMO0199	156.9	498519	498520	TSS_1030	+	-42	ZMO0199 (LexA)	TF homology	ZMO0498
ZM4	516070	516071	ZMO0199	352.509	515948	515949	TSS_1070	+	122	ZMO0199 (LexA)	TF homology	ZMO0514
ZM4	518230	518231	ZMO0199	60.3868	518215	518216	TSS_1078	+	15	ZMO0199 (LexA)	TF homology	ZMO0516
ZM4	519784	519785	ZMO0199	75.8699	519929	519930	TSS_1107	+	-145	ZMO0199 (LexA)	TF homology	ZMO2003
ZM4	521354	521355	ZMO0199	163.964	521415	521416	TSS_1123	+	-61	ZMO0199 (LexA)	TF homology	ZMO0518
ZM4	523010	523011	ZMO0199	33.4064	523094	523095	TSS_1132	+	-84	ZMO0199 (LexA)	TF homology	ZMO2004
ZM4	523249	523250	ZMO0199	1652.49	523097	523098	TSS_1133	+	152	ZMO0199 (LexA)	TF homology	ZMO2004
ZM4	525930	525931	ZMO0199	40.9158	526060	526061	TSS_1169	+	-130	ZMO0199 (LexA)	TF homology	ZMO0528
ZM4	526650	526651	ZMO0199	146.453	526690	526691	TSS_1173	+	-40	ZMO0199 (LexA)	TF homology	ZMO0529
ZM4	526914	526915	ZMO0199	428.919	526889	526890	TSS_1176	+	25	ZMO0199 (LexA)	TF homology	ZMO0529
ZM4	532580	532581	ZMO0199	25.9246	532615	532616	TSS_1196	+	-35	ZMO0199 (LexA)	TF homology	ZMO0539
ZM4	534580	534581	ZMO0199	220.762	534570	534571	TSS_1217	+	10	ZMO0199 (LexA)	TF homology	ZMO0542
ZM4	534965	534966	ZMO0199	1576.4	534800	534801	TSS_1219	+	165	ZMO0199 (LexA)	TF homology	ZMO0542
ZM4	543533	543534	ZMO0199	89.3112	543526	543527	TSS_1287	-	-7	ZMO0199 (LexA)	TF homology	ZMO2050
