chrm	peak_start	peak_end	TF	peak_enrichment	gene_start	gene	gene_strand	distance	simple_name	class
ZM4	1076744	1076745	ZMO0023	23.5422	1076596	sod	-	-148	ZMO0023 (AsnC)	TF homology
ZM4	1080961	1080962	ZMO0023	20.0852	1080784	ZMO1_ZMO1068	+	177	ZMO0023 (AsnC)	TF homology
ZM4	1132820	1132821	ZMO0023	57.0938	1132932	gltD	+	-112	ZMO0023 (AsnC)	TF homology
ZM4	1151112	1151113	ZMO0023	13.9957	1151105	lipA	-	-7	ZMO0023 (AsnC)	TF homology
ZM4	1229336	1229337	ZMO0023	3.23253	1229342	trmH	+	-6	ZMO0023 (AsnC)	TF homology
ZM4	1236344	1236345	ZMO0023	24.7344	1236445	ZMO1_ZMOt029	-	101	ZMO0023 (AsnC)	TF homology
ZM4	1244659	1244660	ZMO0023	93.3715	1244662	ZMO1_ZMO2011	+	-3	ZMO0023 (AsnC)	TF homology
ZM4	1261580	1261581	ZMO0023	4.50426	1261520	ZMO1_ZMO1235	-	-60	ZMO0023 (AsnC)	TF homology
ZM4	1286421	1286422	ZMO0023	42.0605	1286443	ZMO1_ZMO2012	+	-22	ZMO0023 (AsnC)	TF homology
ZM4	1288910	1288911	ZMO0023	23.6471	1288961	cysG2	-	51	ZMO0023 (AsnC)	TF homology
ZM4	1301596	1301597	ZMO0023	306.02	1301774	sldL	-	178	ZMO0023 (AsnC)	TF homology
ZM4	1303961	1303962	ZMO0023	53.8	1303926	ZMO1_ZMO1287	-	-35	ZMO0023 (AsnC)	TF homology
ZM4	1313023	1313024	ZMO0023	36.7837	1313079	ZMO1_ZMO1298	+	-56	ZMO0023 (AsnC)	TF homology
ZM4	1316156	1316157	ZMO0023	9.70706	1316015	ZMO1_ZMO2017	+	141	ZMO0023 (AsnC)	TF homology
ZM4	1341565	1341566	ZMO0023	8.72296	1341680	chvI	+	-115	ZMO0023 (AsnC)	TF homology
ZM4	1345527	1345528	ZMO0023	12.4547	1345629	nagE	+	-102	ZMO0023 (AsnC)	TF homology
ZM4	1370771	1370772	ZMO0023	78.8212	1370666	motB3	-	-105	ZMO0023 (AsnC)	TF homology
ZM4	1383476	1383477	ZMO0023	20.9378	1383431	rpsD	+	45	ZMO0023 (AsnC)	TF homology
ZM4	1422283	1422284	ZMO0023	32.9322	1422091	asd	-	-192	ZMO0023 (AsnC)	TF homology
ZM4	1429539	1429540	ZMO0023	497.184	1429455	ZMO1_ZMO1415	-	-84	ZMO0023 (AsnC)	TF homology
ZM4	1458607	1458608	ZMO0023	104.564	1458600	ZMO1_ZMO1439	-	-7	ZMO0023 (AsnC)	TF homology
ZM4	1459540	1459541	ZMO0023	2.59548	1459483	ZMO1_ZMO1440	-	-57	ZMO0023 (AsnC)	TF homology
ZM4	1473405	1473406	ZMO0023	515.851	1473528	ZMO1_ZMO1451	-	123	ZMO0023 (AsnC)	TF homology
ZM4	1482696	1482697	ZMO0023	20.2313	1482632	ZMO1_ZMO1461	-	-64	ZMO0023 (AsnC)	TF homology
ZM4	1486432	1486433	ZMO0023	5.68803	1486337	ZMO1_ZMO1464	-	-95	ZMO0023 (AsnC)	TF homology
ZM4	1501412	1501413	ZMO0023	94.322	1501411	ZMO1_ZMO1477	-	-1	ZMO0023 (AsnC)	TF homology
ZM4	1518156	1518157	ZMO0023	88.6722	1518298	ZMO1_ZMO1491	+	-142	ZMO0023 (AsnC)	TF homology
ZM4	1546298	1546299	ZMO0023	7.1343	1546201	ZMO1_ZMO1520	-	-97	ZMO0023 (AsnC)	TF homology
ZM4	1562939	1562940	ZMO0023	2.76817	1562843	ZMO1_ZMO1529	-	-96	ZMO0023 (AsnC)	TF homology
ZM4	1563270	1563271	ZMO0023	9.51307	1563298	ZMO1_ZMO1530	+	-28	ZMO0023 (AsnC)	TF homology
ZM4	1605004	1605005	ZMO0023	12.012	1605177	ZMO1_ZMO2073	-	173	ZMO0023 (AsnC)	TF homology
ZM4	1618404	1618405	ZMO0023	344.12	1618304	ZMO1_ZMOr002	-	-100	ZMO0023 (AsnC)	TF homology
ZM4	1636904	1636905	ZMO0023	78.8439	1637038	adhB	+	-134	ZMO0023 (AsnC)	TF homology
ZM4	1638467	1638468	ZMO0023	23.5653	1638583	dxs2	+	-116	ZMO0023 (AsnC)	TF homology
ZM4	1681915	1681916	ZMO0023	74.2483	1681744	ZMO1_ZMO1636	-	-171	ZMO0023 (AsnC)	TF homology
ZM4	1694852	1694853	ZMO0023	5.36298	1694799	ZMO1_ZMOt040	-	-53	ZMO0023 (AsnC)	TF homology
ZM4	1701363	1701364	ZMO0023	173.81	1701418	ptsP	-	55	ZMO0023 (AsnC)	TF homology
ZM4	1712773	1712774	ZMO0023	117.752	1712750	nadD	+	23	ZMO0023 (AsnC)	TF homology
ZM4	1752987	1752988	ZMO0023	1105.34	1752921	ZMO1_ZMO1701	-	-66	ZMO0023 (AsnC)	TF homology
ZM4	1768713	1768714	ZMO0023	6.52458	1768624	frk	+	89	ZMO0023 (AsnC)	TF homology
ZM4	1778031	1778032	ZMO0023	31.4088	1778179	cysE	-	148	ZMO0023 (AsnC)	TF homology
ZM4	1827339	1827340	ZMO0023	13.1313	1827190	ZMO1_ZMO1780	-	-149	ZMO0023 (AsnC)	TF homology
ZM4	1849806	1849807	ZMO0023	60.6527	1849886	ZMO1_ZMO1807	+	-80	ZMO0023 (AsnC)	TF homology
ZM4	1850073	1850074	ZMO0023	10.8946	1849886	ZMO1_ZMO1807	+	187	ZMO0023 (AsnC)	TF homology
ZM4	1868322	1868323	ZMO0023	193.584	1868308	ZMO1_ZMO1822	-	-14	ZMO0023 (AsnC)	TF homology
ZM4	1903553	1903554	ZMO0023	319.859	1903453	ZMO1_ZMOr005	-	-100	ZMO0023 (AsnC)	TF homology
ZM4	1917406	1917407	ZMO0023	360.898	1917305	ZMO1_ZMOr008	-	-101	ZMO0023 (AsnC)	TF homology
ZM4	1925313	1925314	ZMO0023	315.589	1925168	nadC	-	-145	ZMO0023 (AsnC)	TF homology
ZM4	1927255	1927256	ZMO0023	4.74587	1927197	ZMO1_ZMO1873	-	-58	ZMO0023 (AsnC)	TF homology
ZM4	1928078	1928079	ZMO0023	24.0944	1928221	ZMO1_ZMO1876	+	-143	ZMO0023 (AsnC)	TF homology
ZM4	1954982	1954983	ZMO0023	13.5826	1955092	hemD	-	110	ZMO0023 (AsnC)	TF homology
ZM4	2005736	2005737	ZMO0023	78.4853	2005747	ZMO1_ZMO1949	+	-11	ZMO0023 (AsnC)	TF homology
ZM4	2036682	2036683	ZMO0023	4.15379	2036639	ZMO1_ZMO1974	+	43	ZMO0023 (AsnC)	TF homology
ZM4	2037535	2037536	ZMO0023	8.24351	2037544	ZMO1_ZMO1975	+	-9	ZMO0023 (AsnC)	TF homology
ZM4	2048485	2048486	ZMO0023	8.93753	2048504	ZMO1_ZMO1986	+	-19	ZMO0023 (AsnC)	TF homology
ZM4	46126	46127	ZMO0050	14054	46170	ZMO1_ZMO0050	+	-44	ZMO0050 (LysR)	TF homology
ZM4	600706	600707	ZMO0050	12.8946	600580	ZMO1_ZMO0601	+	126	ZMO0050 (LysR)	TF homology
ZM4	1519494	1519495	ZMO0050	13.4559	1519568	ZMO1_ZMO2071	-	74	ZMO0050 (LysR)	TF homology
ZM4	49272	49273	ZMO0054	51655.8	49227	pcaD	-	-45	ZMO0054 (MarR)	TF homology
ZM4	119298	119299	ZMO0054	1859.8	119178	phoC	-	-120	ZMO0054 (MarR)	TF homology
ZM4	217663	217664	ZMO0054	3673.38	217814	ZMO1_ZMO0222	+	-151	ZMO0054 (MarR)	TF homology
ZM4	1726600	1726601	ZMO0054	6225.31	1726753	ZMO1_ZMO1681	+	-153	ZMO0054 (MarR)	TF homology
ZM4	1893371	1893372	ZMO0054	51.1775	1893241	fldA	-	-130	ZMO0054 (MarR)	TF homology
ZM4	67097	67098	ZMO0100	23.182	67041	phoH	-	-56	ZMO0100 (HxlR)	TF homology
ZM4	88401	88402	ZMO0100	42458.4	88383	ZMO1_ZMO0100	-	-18	ZMO0100 (HxlR)	TF homology
ZM4	93230	93231	ZMO0100	10263	93102	leuD	+	128	ZMO0100 (HxlR)	TF homology
ZM4	120454	120455	ZMO0100	25.4724	120280	ZMO1_ZMO0131	-	-174	ZMO0100 (HxlR)	TF homology
ZM4	125686	125687	ZMO0100	18.0392	125858	ZMO1_ZMO0135	+	-172	ZMO0100 (HxlR)	TF homology
ZM4	164015	164016	ZMO0100	788.972	163877	gap	+	138	ZMO0100 (HxlR)	TF homology
ZM4	232171	232172	ZMO0100	37.2015	232262	ZMO1_ZMO0234	-	91	ZMO0100 (HxlR)	TF homology
ZM4	254070	254071	ZMO0100	13.7158	254133	tolC	+	-63	ZMO0100 (HxlR)	TF homology
ZM4	300557	300558	ZMO0100	7501.83	300450	ZMO1_ZMO0296	+	107	ZMO0100 (HxlR)	TF homology
ZM4	390338	390339	ZMO0100	23.5178	390350	ZMO1_ZMO0381	+	-12	ZMO0100 (HxlR)	TF homology
ZM4	406828	406829	ZMO0100	23.8074	406761	ppx1	-	-67	ZMO0100 (HxlR)	TF homology
ZM4	471460	471461	ZMO0100	10.4328	471537	ZMO1_ZMO0479	+	-77	ZMO0100 (HxlR)	TF homology
ZM4	558111	558112	ZMO0100	6.8266	558258	ZMO1_ZMO0559	+	-147	ZMO0100 (HxlR)	TF homology
ZM4	630790	630791	ZMO0100	51.6506	630667	fliH	+	123	ZMO0100 (HxlR)	TF homology
ZM4	716696	716697	ZMO0100	155.246	716599	ZMO1_ZMO0716	+	97	ZMO0100 (HxlR)	TF homology
ZM4	736911	736912	ZMO0100	1680.98	736891	ZMO1_ZMO0733	-	-20	ZMO0100 (HxlR)	TF homology
ZM4	842318	842319	ZMO0100	84.0821	842401	ftsA	+	-83	ZMO0100 (HxlR)	TF homology
ZM4	853279	853280	ZMO0100	1363.9	853194	alaS	+	85	ZMO0100 (HxlR)	TF homology
ZM4	976187	976188	ZMO0100	55.9313	976332	petC	+	-145	ZMO0100 (HxlR)	TF homology
ZM4	1031037	1031038	ZMO0100	150.202	1031094	ZMO1_ZMOt021	-	57	ZMO0100 (HxlR)	TF homology
ZM4	1033899	1033900	ZMO0100	2278.53	1034085	ZMO1_ZMO1015	-	186	ZMO0100 (HxlR)	TF homology
ZM4	1034139	1034140	ZMO0100	14.3391	1034085	ZMO1_ZMO1015	-	-54	ZMO0100 (HxlR)	TF homology
ZM4	1040269	1040270	ZMO0100	51.609	1040408	ZMO1_ZMO1021	-	139	ZMO0100 (HxlR)	TF homology
ZM4	1087726	1087727	ZMO0100	28.062	1087605	rimM	+	121	ZMO0100 (HxlR)	TF homology
ZM4	1131792	1131793	ZMO0100	45.8511	1131860	ZMO1_ZMOt025	-	68	ZMO0100 (HxlR)	TF homology
ZM4	1140654	1140655	ZMO0100	15.5184	1140578	ZMO1_ZMO1121	-	-76	ZMO0100 (HxlR)	TF homology
ZM4	1176310	1176311	ZMO0100	9.66983	1176351	rpsB	-	41	ZMO0100 (HxlR)	TF homology
ZM4	1274655	1274656	ZMO0100	44.1509	1274456	ccmF	-	-199	ZMO0100 (HxlR)	TF homology
ZM4	1357119	1357120	ZMO0100	37.8974	1357145	ZMO1_ZMO2018	-	26	ZMO0100 (HxlR)	TF homology
ZM4	1509539	1509540	ZMO0100	51.3189	1509453	ZMO1_ZMO1483	-	-86	ZMO0100 (HxlR)	TF homology
ZM4	1514124	1514125	ZMO0100	622.758	1514171	ZMO1_ZMOt035	-	47	ZMO0100 (HxlR)	TF homology
ZM4	1640819	1640820	ZMO0100	47.7238	1640658	ZMO1_ZMO1599	+	161	ZMO0100 (HxlR)	TF homology
ZM4	1784940	1784941	ZMO0100	54.3543	1785131	ZMO1_ZMO1739	-	191	ZMO0100 (HxlR)	TF homology
ZM4	1802100	1802101	ZMO0100	26.3937	1802064	gntP	+	36	ZMO0100 (HxlR)	TF homology
ZM4	1852700	1852701	ZMO0100	5.80588	1852587	rfnH	-	-113	ZMO0100 (HxlR)	TF homology
ZM4	1984824	1984825	ZMO0100	83.2083	1984724	groEL	+	100	ZMO0100 (HxlR)	TF homology
ZM4	1991971	1991972	ZMO0100	1506.7	1992057	ZMO1_ZMO1933	-	86	ZMO0100 (HxlR)	TF homology
ZM4	1993974	1993975	ZMO0100	10.4057	1994084	ZMO1_ZMO1934	-	110	ZMO0100 (HxlR)	TF homology
ZM4	2004111	2004112	ZMO0100	78.9977	2004015	ZMO1_ZMO1946	+	96	ZMO0100 (HxlR)	TF homology
pZM39	15724	15725	ZMO0100	68.46	15655	ZMO1_ZMOp39x016	+	69	ZMO0100 (HxlR)	TF homology
ZM4	318405	318406	ZMO1164	16.5172	318262	ZMO1_ZMO0315	-	-143	ZMO1164 (PhoB)	TF homology
ZM4	600706	600707	ZMO1164	13.1876	600580	ZMO1_ZMO0601	+	126	ZMO1164 (PhoB)	TF homology
ZM4	1063598	1063599	ZMO1164	593.387	1063504	ZMO1_ZMO1045	-	-94	ZMO1164 (PhoB)	TF homology
ZM4	1180882	1180883	ZMO1164	125.128	1181060	phoU	+	-178	ZMO1164 (PhoB)	TF homology
ZM4	1860626	1860627	ZMO1164	9.50016	1860457	ZMO1_ZMO1815	-	-169	ZMO1164 (PhoB)	TF homology
ZM4	404974	404975	ZMO0190	133.927	404776	ZMO1_ZMO0401	-	-198	ZMO0190 (RpiR)	TF homology
ZM4	18377	18378	ZMO0199	290.341	18366	grpE	+	11	ZMO0199 (LexA)	TF homology
ZM4	25955	25956	ZMO0199	272.441	25981	ZMO1_ZMO0022	-	26	ZMO0199 (LexA)	TF homology
ZM4	49166	49167	ZMO0199	7488.58	49227	pcaD	-	61	ZMO0199 (LexA)	TF homology
ZM4	50793	50794	ZMO0199	2705.66	50778	ZMO1_ZMO0055	-	-15	ZMO0199 (LexA)	TF homology
ZM4	61452	61453	ZMO0199	274.926	61629	ZMO1_ZMO0069	+	-177	ZMO0199 (LexA)	TF homology
ZM4	64381	64382	ZMO0199	302.211	64485	ZMO1_ZMO0072	-	104	ZMO0199 (LexA)	TF homology
ZM4	64605	64606	ZMO0199	749.829	64485	ZMO1_ZMO0072	-	-120	ZMO0199 (LexA)	TF homology
ZM4	68921	68922	ZMO0199	674.369	69118	cheW	-	197	ZMO0199 (LexA)	TF homology
ZM4	69249	69250	ZMO0199	15.6975	69118	cheW	-	-131	ZMO0199 (LexA)	TF homology
ZM4	88411	88412	ZMO0199	962.025	88383	ZMO1_ZMO0100	-	-28	ZMO0199 (LexA)	TF homology
ZM4	96708	96709	ZMO0199	364.541	96712	ZMO1_ZMO0110	+	-4	ZMO0199 (LexA)	TF homology
ZM4	99488	99489	ZMO0199	71.5578	99644	ZMO1_ZMO0111	-	156	ZMO0199 (LexA)	TF homology
ZM4	100812	100813	ZMO0199	164.614	100923	pabB	+	-111	ZMO0199 (LexA)	TF homology
ZM4	110427	110428	ZMO0199	653.605	110562	ZMO1_ZMO0122	+	-135	ZMO0199 (LexA)	TF homology
ZM4	113210	113211	ZMO0199	428.405	113185	ZMO1_ZMO0125	-	-25	ZMO0199 (LexA)	TF homology
ZM4	113813	113814	ZMO0199	20159.9	113615	ZMO1_ZMOt001	-	-198	ZMO0199 (LexA)	TF homology
ZM4	115602	115603	ZMO0199	54.9426	115551	ZMO1_ZMO0127	-	-51	ZMO0199 (LexA)	TF homology
ZM4	125883	125884	ZMO0199	739.81	125858	ZMO1_ZMO0135	+	25	ZMO0199 (LexA)	TF homology
ZM4	126630	126631	ZMO0199	133.376	126653	ZMO1_ZMO0136	+	-23	ZMO0199 (LexA)	TF homology
ZM4	127401	127402	ZMO0199	103.318	127569	ZMO1_ZMO0137	+	-168	ZMO0199 (LexA)	TF homology
ZM4	130649	130650	ZMO0199	903.261	130699	ZMO1_ZMO0142	+	-50	ZMO0199 (LexA)	TF homology
ZM4	152878	152879	ZMO0199	260.854	152938	ZMO1_ZMO2000	-	60	ZMO0199 (LexA)	TF homology
ZM4	153015	153016	ZMO0199	395.629	152938	ZMO1_ZMO2000	-	-77	ZMO0199 (LexA)	TF homology
ZM4	160570	160571	ZMO0199	160.644	160544	zapA	-	-26	ZMO0199 (LexA)	TF homology
ZM4	165172	165173	ZMO0199	177.939	165113	pgk	+	59	ZMO0199 (LexA)	TF homology
ZM4	173581	173582	ZMO0199	1699.43	173736	ZMO1_ZMO0184	+	-155	ZMO0199 (LexA)	TF homology
ZM4	177157	177158	ZMO0199	14835.6	177223	ZMO1_ZMOt002	+	-66	ZMO0199 (LexA)	TF homology
ZM4	177781	177782	ZMO0199	83.2628	177746	fhuE	+	35	ZMO0199 (LexA)	TF homology
ZM4	181487	181488	ZMO0199	385.384	181499	sdaA	-	12	ZMO0199 (LexA)	TF homology
ZM4	183546	183547	ZMO0199	45.8925	183620	ZMO1_ZMO0191	-	74	ZMO0199 (LexA)	TF homology
ZM4	194460	194461	ZMO0199	23005.9	194368	lexA	-	-92	ZMO0199 (LexA)	TF homology
ZM4	196245	196246	ZMO0199	84.1112	196170	trpG	-	-75	ZMO0199 (LexA)	TF homology
ZM4	217177	217178	ZMO0199	41.827	217046	ZMO1_ZMO0221	+	131	ZMO0199 (LexA)	TF homology
ZM4	221679	221680	ZMO0199	2956.91	221875	polA	+	-196	ZMO0199 (LexA)	TF homology
ZM4	229438	229439	ZMO0199	417.141	229636	ZMO1_ZMO0232	-	198	ZMO0199 (LexA)	TF homology
ZM4	232150	232151	ZMO0199	369.931	232262	ZMO1_ZMO0234	-	112	ZMO0199 (LexA)	TF homology
ZM4	232857	232858	ZMO0199	14.3974	232799	ZMO1_ZMO0236	+	58	ZMO0199 (LexA)	TF homology
ZM4	234646	234647	ZMO0199	414.869	234818	atpA	+	-172	ZMO0199 (LexA)	TF homology
ZM4	238640	238641	ZMO0199	196.221	238820	atpC	+	-180	ZMO0199 (LexA)	TF homology
ZM4	267407	267408	ZMO0199	119.072	267535	ZMO1_ZMO0264	-	128	ZMO0199 (LexA)	TF homology
ZM4	286650	286651	ZMO0199	18.7667	286839	ZMO1_ZMO0281	-	189	ZMO0199 (LexA)	TF homology
ZM4	293908	293909	ZMO0199	122.531	293738	ZMO1_ZMO0286	-	-170	ZMO0199 (LexA)	TF homology
ZM4	295284	295285	ZMO0199	101.804	295366	ZMO1_ZMO0290	+	-82	ZMO0199 (LexA)	TF homology
ZM4	310672	310673	ZMO0199	194.222	310506	ZMO1_ZMO0306	-	-166	ZMO0199 (LexA)	TF homology
ZM4	318576	318577	ZMO0199	1032.35	318603	ZMO1_ZMO0318	+	-27	ZMO0199 (LexA)	TF homology
ZM4	325141	325142	ZMO0199	67.1682	325021	lspA	+	120	ZMO0199 (LexA)	TF homology
ZM4	329494	329495	ZMO0199	331.126	329552	cbbF1	+	-58	ZMO0199 (LexA)	TF homology
ZM4	368626	368627	ZMO0199	51.61	368513	ligA	+	113	ZMO0199 (LexA)	TF homology
ZM4	370916	370917	ZMO0199	815.913	371081	glf	+	-165	ZMO0199 (LexA)	TF homology
ZM4	376164	376165	ZMO0199	31.2528	376054	glk	+	110	ZMO0199 (LexA)	TF homology
ZM4	378481	378482	ZMO0199	3751.47	378392	ZMO1_ZMO0372	+	89	ZMO0199 (LexA)	TF homology
ZM4	380000	380001	ZMO0199	95.0125	380041	sacB	+	-41	ZMO0199 (LexA)	TF homology
ZM4	393315	393316	ZMO0199	100.327	393157	ZMO1_ZMO0388	+	158	ZMO0199 (LexA)	TF homology
ZM4	406877	406878	ZMO0199	109.285	406965	ZMO1_ZMOt006	+	-88	ZMO0199 (LexA)	TF homology
ZM4	417984	417985	ZMO0199	302.868	418116	ZMO1_ZMO0412	-	132	ZMO0199 (LexA)	TF homology
ZM4	419559	419560	ZMO0199	123.97	419695	ZMO1_ZMO0414	-	136	ZMO0199 (LexA)	TF homology
ZM4	425050	425051	ZMO0199	2640.74	424958	hisC2	-	-92	ZMO0199 (LexA)	TF homology
ZM4	447549	447550	ZMO0199	194.08	447706	ZMO1_ZMO0452	+	-157	ZMO0199 (LexA)	TF homology
ZM4	447902	447903	ZMO0199	2972.41	447706	ZMO1_ZMO0452	+	196	ZMO0199 (LexA)	TF homology
ZM4	469081	469082	ZMO0199	199.795	469191	ribC	-	110	ZMO0199 (LexA)	TF homology
ZM4	470669	470670	ZMO0199	128.97	470632	ZMO1_ZMO0477	-	-37	ZMO0199 (LexA)	TF homology
ZM4	471419	471420	ZMO0199	32.8305	471537	ZMO1_ZMO0479	+	-118	ZMO0199 (LexA)	TF homology
ZM4	483271	483272	ZMO0199	181.026	483304	ZMO1_ZMO0488	-	33	ZMO0199 (LexA)	TF homology
ZM4	483668	483669	ZMO0199	251.651	483636	ZMO1_ZMO0489	+	32	ZMO0199 (LexA)	TF homology
ZM4	486068	486069	ZMO0199	388.966	486064	pepP	+	4	ZMO0199 (LexA)	TF homology
ZM4	489988	489989	ZMO0199	580.354	490037	ZMO1_ZMO0494	+	-49	ZMO0199 (LexA)	TF homology
